Date,Cumulative_Confirmed_Cases,New_Confirmed_Cases,Cumulative_Deaths,New_Deaths
4/12/2020,12084,821,661,80
4/13/2020,12944,860,750,89
4/14/2020,13995,1051,836,86
4/15/2020,14879,884,924,88
4/16/2020,15741,862,1009,85
4/17/2020,16575,834,1088,79
4/18/2020,17262,687,1180,92
4/19/2020,17919,657,1290,110
4/20/2020,18618,699,1388,98
4/21/2020,19287,669,1495,107
4/22/2020,20082,795,1597,102
4/23/2020,20828,746,1711,114
4/24/2020,21604,776,1811,100
4/25/2020,22279,675,1929,118
4/26/2020,22883,604,2040,111
4/27/2020,23575,692,2149,109
4/28/2020,24383,808,2282,133
4/29/2020,25230,847,2415,133
4/30/2020,26041,811,2534,119
5/1/2020,26886,845,2653,119
5/2/2020,27644,758,2767,114
5/3/2020,28375,731,2865,98
5/4/2020,28945,570,2974,109
5/5/2020,29789,844,3059,85
5/6/2020,30665,876,3154,95
5/7/2020,31453,788,3249,95
5/8/2020,32145,692,3332,83
5/9/2020,32751,606,3424,92
5/10/2020,33421,670,3504,80
5/11/2020,33981,560,3596,92
5/12/2020,34610,629,3668,72
5/13/2020,35290,680,3723,55
5/14/2020,36005,715,3811,88
5/15/2020,36699,694,3893,82
5/16/2020,37435,736,3963,70
5/17/2020,38060,625,4025,62
5/18/2020,38605,545,4081,56
5/19/2020,39234,629,4137,56
5/20/2020,39892,658,4206,69
5/21/2020,40546,654,4257,51
5/22/2020,41058,512,4326,69
5/23/2020,41559,501,4388,62
5/24/2020,42101,542,4450,62
5/25/2020,42459,358,4506,56
5/26/2020,42856,397,4569,63
5/27/2020,43267,411,4621,52
5/28/2020,43651,384,4698,77
5/29/2020,44033,382,4758,60
5/30/2020,44400,367,4793,35
5/31/2020,44647,247,4833,40
6/1/2020,44901,254,4871,38
6/2/2020,45130,229,4908,37
6/3/2020,45364,234,4940,32
6/4/2020,45600,236,4955,15
6/5/2020,45836,236,4981,26
6/6/2020,46048,212,5006,25
6/7/2020,46205,157,5025,19
6/8/2020,46323,118,5037,12
6/9/2020,46494,171,5053,16
6/10/2020,46649,155,5065,12
6/11/2020,46790,141,5087,22
6/12/2020,46941,151,5102,15
6/13/2020,47047,106,5116,14
6/14/2020,47131,84,5126,10
6/15/2020,47222,91,5141,15
6/16/2020,47322,100,5151,10
6/17/2020,47437,115,5156,5
6/18/2020,47540,103,5164,8
6/19/2020,47636,96,5172,8
6/20/2020,47725,89,5178,6
6/21/2020,47800,75,5185,7
6/22/2020,47867,67,5195,10
6/23/2020,47944,77,5206,11
6/24/2020,48026,82,5216,10
6/25/2020,48095,69,5222,6
6/26/2020,48156,61,5228,6
6/27/2020,48230,74,5234,6
6/28/2020,48282,52,5237,3
6/29/2020,48315,33,5245,8
6/30/2020,48402,87,5254,9
7/1/2020,48485,83,5259,5
7/2/2020,48555,70,5264,5
7/3/2020,48642,87,5267,3
7/4/2020,48734,92,5273,6
7/5/2020,48787,53,5274,1
7/6/2020,48852,65,5281,7
7/7/2020,48957,105,5284,3
7/8/2020,49080,123,5288,4
7/9/2020,49201,121,5289,1
7/10/2020,49298,97,5291,2
7/11/2020,49406,108,5296,5
7/12/2020,49480,74,5297,1
7/13/2020,49617,137,5301,4
7/14/2020,49740,123,5302,1
7/15/2020,49895,155,5307,5
7/16/2020,50032,137,5310,3
7/17/2020,50209,177,5313,3
7/18/2020,50404,195,5313,0
